title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,arundel,arundel 174,arundel 174,,40,arundel 174
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,add. 9785,add. 9785,,40,additional add. 9785
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,"add. 15,477","add. 15,477",,40,"additional add. 15,477"
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,"add. 22,155","add. 22,155",,40,"additional add. 22,155"
trojumanna saga,trójumanna saga,,classical romances,cycle of troy,additional,add. 4869. ff. 2-66,add. 4869.,ff. 2-66,62,additional add. 4869. ff. 2-66
rimur af trojumonnum,rimur from trójumanna saga,jon jonsson,classical romances,cycle of troy,additional,"add. 11,113. ff. 171-281","add. 11,113.",ff. 171-281,63,"additional add. 11,113. ff. 171-281"
recueil,,raoul le fèvre,classical romances,cycle of troy,,,,,64,
latin history of troy,history of troy,,classical romances,cycle of troy,burney,burney 186. ff. 116-128,burney 186.,ff. 116-128,66,burney 186. ff. 116-128
filostrato,filostrato,boccaccio,classical romances,cycle of troy,additional,"add. 21,246","add. 21,246",,67,"additional add. 21,246"
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 1239. ff. 1-62 b,harley 1239.,ff. 1-62 b,70,harley 1239. ff. 1-62 b
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 2280,harley 2280,,70,harley 2280
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 2392,harley 2392,,70,harley 2392
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 3943,harley 3943,,70,harley 3943
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 4912,harley 4912,,70,harley 4912
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,additional,"add. 12,044","add. 12,044",,70,"additional add. 12,044"
troy book,troy book,lydgate,classical romances,cycle of troy,royal,18. d. ii. ff. 6-146,18. d. ii.,ff. 6-146,75,royal 18. d. ii. ff. 6-146
troy book,troy book,lydgate,classical romances,cycle of troy,royal,18. d. vi.,18. d. vi.,,75,royal 18. d. vi.
troy book,troy book,lydgate,classical romances,cycle of troy,cotton,augustus a. iv.,augustus a. iv.,,75,cotton augustus a. iv.
troy book,troy book,lydgate,classical romances,cycle of troy,arundel,arundel 99,arundel 99,,75,arundel 99
roman d'eneas,roman d'eneas,,classical romances,cycle of troy,additional,"add. 14,100","add. 14,100",,82,"additional add. 14,100"
romance of troy,romance of troy,,classical romances,cycle of troy,harley,harley 525. ff. 1-34 b,harley 525.,ff. 1-34 b,84,harley 525. ff. 1-34 b
romance of thebes,romance of thebes,lydgate,classical romances,,royal,18. d. ii. ff. 147 b-162,18. d. ii.,ff. 147 b-162,87,royal 18. d. ii. ff. 147 b-162
